"target_function","core_scope","unique_ioctls_calling_this","ioctl_list","file"
"hantro_vp9_tile_info_size","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_tile_info_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_count_tab_size","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_count_tab_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_prob_tab_size","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_prob_tab_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_segment_map_size","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_segment_map_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_bsd_control_size","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_bsd_control_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_tile_filter_size","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"hantro_vp9_tile_filter_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_vp9.c"
"imx8m_vpu_g1_reset","1_Driver",2,"v4l_qbuf, v4l_streamon","imx8m_vpu_hw.c"
"imx8m_vpu_g1_reset","2_SubSystem",2,"v4l_qbuf, v4l_streamon","imx8m_vpu_hw.c"
"imx8m_soft_reset","1_Driver",2,"v4l_qbuf, v4l_streamon","imx8m_vpu_hw.c"
"imx8m_soft_reset","2_SubSystem",2,"v4l_qbuf, v4l_streamon","imx8m_vpu_hw.c"
"rockchip_av1_get_q_ctx","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_av1_entropymode.c"
"rockchip_av1_get_q_ctx","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_av1_entropymode.c"
"rockchip_av1_get_random_number","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"rockchip_av1_get_random_number","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"rockchip_av1_update_random_register","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"rockchip_av1_update_random_register","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"rockchip_av1_init_random_generator","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"rockchip_av1_init_random_generator","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"round_power_of_two","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"round_power_of_two","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"clamp","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"clamp","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_av1_filmgrain.c"
"rockchip_vpu2_jpeg_enc_set_qtable","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_jpeg_enc.c"
"rockchip_vpu2_jpeg_enc_set_qtable","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_jpeg_enc.c"
"rockchip_vpu2_jpeg_enc_set_buffers","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_jpeg_enc.c"
"rockchip_vpu2_jpeg_enc_set_buffers","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_jpeg_enc.c"
"rockchip_vpu2_set_src_img_ctrl","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_jpeg_enc.c"
"rockchip_vpu2_set_src_img_ctrl","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_jpeg_enc.c"
"rockchip_vpu2_mpeg2_dec_set_buffers","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_mpeg2_dec.c"
"rockchip_vpu2_mpeg2_dec_set_buffers","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_mpeg2_dec.c"
"rockchip_vpu2_mpeg2_dec_set_quantisation","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_mpeg2_dec.c"
"rockchip_vpu2_mpeg2_dec_set_quantisation","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_mpeg2_dec.c"
"rockchip_vpu981_postproc_disable","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_postproc_disable","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_postproc_enable","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_postproc_enable","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_output_buffer","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_output_buffer","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_input_buffer","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_input_buffer","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_parameters","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_parameters","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_reference_frames","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_reference_frames","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_other_frames","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_other_frames","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_picture_dimensions","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_picture_dimensions","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_superres_params","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_superres_params","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_lr","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_lr","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_cdef","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_cdef","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_fgs","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_fgs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_init_scaling_function","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_init_scaling_function","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_prob","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_prob","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_update_prob","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_update_prob","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_loopfilter","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_loopfilter","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_is_lossless","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_is_lossless","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_segmentation","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_segmentation","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_sign_bias","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_sign_bias","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_ref","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_ref","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_frame_sign_bias","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_frame_sign_bias","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_get_dist","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_get_dist","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_tile_info","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_tile_info","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_tile_log2","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_tile_log2","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_global_model","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_set_global_model","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_get_shear_params","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_get_shear_params","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_resolve_divisor_32","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_resolve_divisor_32","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_get_msb","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_get_msb","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_prepare_run","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_prepare_run","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_tiles_reallocate","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_tiles_reallocate","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_chroma_size","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_chroma_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_luma_size","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_luma_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_clean_refs","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_clean_refs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_frame_unref","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_frame_unref","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_frame_ref","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_frame_ref","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_get_order_hint","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_get_order_hint","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_get_frame_index","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_get_frame_index","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu2_enc_reset","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu_hw.c"
"rockchip_vpu2_enc_reset","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu_hw.c"
"rockchip_vpu2_dec_reset","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu_hw.c"
"rockchip_vpu2_dec_reset","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu_hw.c"
"rockchip_vpu1_enc_reset","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu_hw.c"
"rockchip_vpu1_enc_reset","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu_hw.c"
"rk3066_vpu_dec_reset","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu_hw.c"
"rk3066_vpu_dec_reset","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu_hw.c"
"stm32mp25_venc_reset","1_Driver",2,"v4l_qbuf, v4l_streamon","stm32mp25_vpu_hw.c"
"stm32mp25_venc_reset","2_SubSystem",2,"v4l_qbuf, v4l_streamon","stm32mp25_vpu_hw.c"
"sunxi_vpu_reset","1_Driver",2,"v4l_qbuf, v4l_streamon","sunxi_vpu_hw.c"
"sunxi_vpu_reset","2_SubSystem",2,"v4l_qbuf, v4l_streamon","sunxi_vpu_hw.c"
"__const_udelay","3_kernel",2,"v4l_qbuf, v4l_streamon","delay.h"
"__udelay","3_kernel",2,"v4l_qbuf, v4l_streamon","delay.h"
"__bad_udelay","3_kernel",2,"v4l_qbuf, v4l_streamon","delay.h"
"get_unaligned_be32","3_kernel",2,"v4l_qbuf, v4l_streamon","unaligned.h"
"req_to_new","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-ctrls-core.c"
"sort_r","3_kernel",2,"v4l_qbuf, v4l_streamon","sort.h"
"v4l2_h264_build_p_ref_list","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"v4l2_h264_build_b_ref_lists","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"v4l2_h264_init_reflist_builder","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"print_ref_list_b","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"format_ref_list_b","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"print_ref_list_p","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"format_ref_list_p","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"ref_type_to_char","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"reorder_field_reflist","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"v4l2_h264_b1_ref_list_cmp","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"v4l2_h264_b0_ref_list_cmp","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"v4l2_h264_p_ref_list_cmp","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"v4l2_h264_get_poc","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"v4l_pix_format_touch","2_SubSystem",2,"v4l_g_fmt, v4l_s_fmt","v4l2-ioctl.c"
"_v4l2_m2m_job_finish","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"v4l2_m2m_schedule_next_job","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"__v4l2_m2m_try_queue","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"v4l2_m2m_try_run","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"v4l2_vp9_seg_feat_enabled","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"v4l2_vp9_adapt_noncoef_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"v4l2_vp9_adapt_coef_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"v4l2_vp9_reset_frame_ctx","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"v4l2_vp9_fw_update_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_prob","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_probs_variant_g","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_probs_variant_f","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_probs_variant_e","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_probs_variant_d","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_probs_variant_c","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_probs_variant_b","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"_adapt_coef_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"_adapt_coeff","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_probs_variant_b_coef","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"adapt_probs_variant_a_coef","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"merge_probs_variant_g","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"merge_probs_variant_f","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"merge_probs_variant_e","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"merge_probs_variant_d","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"merge_probs_variant_c","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"merge_probs_variant_b","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"merge_probs_variant_a","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"noncoef_merge_prob","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"merge_prob","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_mv_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_mv_prob","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_partition_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_y_mode_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_frame_reference_mode_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_is_inter_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_interp_filter_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_inter_mode_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_skip_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_coef_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_coeff","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_tx_probs","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"update_prob","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"inv_recenter_nonneg","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"fastdiv","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-vp9.c"
"__fswab32","3_kernel",2,"v4l_qbuf, v4l_streamon","swab.h"
"fls","3_kernel",2,"v4l_qbuf, v4l_streamon","builtin-fls.h"
"atomic_inc","3_kernel",2,"v4l_qbuf, v4l_streamon","atomic-instrumented.h"
"atomic_set","3_kernel",2,"v4l_reqbufs, v4l_streamoff","atomic-instrumented.h"
"v4l2_m2m_get_dst_vq","3_kernel",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.h"
"v4l2_m2m_next_dst_buf","3_kernel",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.h"
"v4l2_m2m_next_src_buf","3_kernel",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.h"
"v4l2_m2m_buf_queue","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"v4l2_m2m_update_stop_streaming_state","2_SubSystem",2,"v4l_reqbufs, v4l_streamoff","v4l2-mem2mem.c"
"v4l2_m2m_update_start_streaming_state","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"v4l2_m2m_is_last_draining_src_buf","3_kernel",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.h"
"v4l2_m2m_dst_buf_is_last","3_kernel",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.h"
"v4l2_m2m_clear_state","3_kernel",2,"v4l_reqbufs, v4l_streamoff","v4l2-mem2mem.h"
"v4l2_m2m_buf_done_and_job_finish","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"v4l2_m2m_try_schedule","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"v4l2_m2m_get_curr_priv","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"device_run","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_drv.c"
"device_run","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_drv.c"
"reset_control_reset","3_kernel",2,"v4l_qbuf, v4l_streamon","reset.h"
"__compiletime_assert_663","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_663","1_Driver",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_663","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_663","2_SubSystem",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_659","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_659","1_Driver",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_659","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_659","2_SubSystem",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_656","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_656","1_Driver",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_656","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_656","2_SubSystem",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_652","1_Driver",2,"v4l_qbuf, v4l_streamon","j721e-csi2rx.c"
"__compiletime_assert_652","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_652","1_Driver",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_652","1_Driver",2,"v4l_qbuf, v4l_streamon","vdec_vp9_if.c"
"__compiletime_assert_652","1_Driver",2,"v4l_qbuf, v4l_streamon","imx8-isi-pipe.c"
"__compiletime_assert_652","2_SubSystem",2,"v4l_qbuf, v4l_streamon","j721e-csi2rx.c"
"__compiletime_assert_652","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_652","2_SubSystem",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_652","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vdec_vp9_if.c"
"__compiletime_assert_652","2_SubSystem",2,"v4l_qbuf, v4l_streamon","imx8-isi-pipe.c"
"__compiletime_assert_640","1_Driver",2,"v4l_qbuf, v4l_streamon","j721e-csi2rx.c"
